time,mRNA_Theta_1,Prot_Theta_1
0.0,10.0,100.0
1.0,164.23998138373778,258.8388369983076
2.0,257.79125903808625,572.6775932530763
3.0,314.5329771314858,860.758633050066
4.0,348.94856886487867,1079.4007297115768
5.0,369.82268027373834,1231.7448521358413
6.0,382.48346888534115,1333.0119341837715
7.0,390.16262510730945,1398.4171420263576
8.0,394.82026874601206,1439.8773586040115
9.0,397.64527258256186,1465.8285286980501
10.0,399.35872413971146,1481.9300949233286
11.0,400.3979851062435,1491.8585700081858
12.0,401.0283286357853,1497.9534564517564
13.0,401.41065116948033,1501.6829749289302
14.0,401.6425416724655,1503.9597742192407
15.0,401.78319045041917,1505.347342474658
16.0,401.8684982896713,1506.191919694608
17.0,401.9202401379305,1506.7055183151144
18.0,401.9516230750432,1507.0176313513202
19.0,401.9706577438819,1507.2072068412558
20.0,401.9822029447237,1507.322312282165
21.0,244.6019223017184,1310.1929316560513
22.0,149.14644507792715,974.2129991040674
23.0,91.25148399452601,673.1915703777187
24.0,56.142485230558734,446.9280807211797
25.0,34.870304434038026,290.0915403777735
26.0,22.053678176922393,186.2640901267495
27.0,14.603837426074785,119.78261941265326
28.0,11.215442515174963,79.34302439200022
29.0,11.996802258723031,59.01634808548654
30.0,15.206931732996768,55.04703135906248
31.0,16.825012755987373,58.42761242618857
32.0,16.76486610191588,61.07835644277868
33.0,16.34747188258045,61.564235695657054
34.0,16.12758868541165,61.119236048802684
35.0,16.11444979405211,60.72804879843036
36.0,16.16789349209718,60.625015080143875
37.0,16.201912642060716,60.67314060324498
38.0,16.206606254507996,60.72844674553386
39.0,16.200015236567232,60.74667507017039
40.0,16.194998198709154,60.74194851704204
41.0,167.9974377060267,250.9377001319863
42.0,260.07027150067967,575.0341686039712
43.0,315.9152680658415,865.4001566912661
44.0,349.7869707052897,1083.6592852807992
45.0,370.3311966847247,1234.9763264208414
46.0,382.7918997031589,1335.2633253306478
47.0,390.3496977966259,1399.9136157943094
48.0,394.93373412880123,1440.8438489302077
49.0,397.71409286375257,1466.4411703533274
50.0,399.40046577189844,1482.3135592809165
51.0,400.4233027020165,1492.0964902861106
52.0,401.04368429996885,1498.1001590101832
53.0,401.4199649456801,1501.773032693412
54.0,401.6481907974795,1504.014881468257
55.0,401.7866168367673,1505.3809844379323
56.0,401.87057651132824,1506.212422458647
57.0,401.92150063291876,1506.7179977053909
58.0,401.9523874984513,1507.0252192279913
59.0,401.9711214501126,1507.2118185545019
60.0,401.9824842178353,1507.3251136135548
