x1,x2,x3,x4
2.75464,18.1027,0.727936,2.72927
2.98525,10.3941,0.763994,2.84671
2.85184,10.4655,0.783635,2.93576
2.78705,12.4942,0.714936,2.70218
2.89595,8.08027,0.773429,2.87773
2.84842,7.9238,0.766769,2.89836
2.79983,8.54743,0.773922,3.00235
2.75131,5.20815,0.68179,2.4491
2.8524,2.06837,0.730388,2.7357
2.88597,11.6742,0.706577,2.61018
2.73116,10.7555,0.715031,2.67823
3.05981,12.3728,0.695054,2.61436
2.85402,13.6454,0.750133,2.82424
2.67746,14.5521,0.711215,2.6264
3.01502,19.5922,0.697238,2.60714
2.93216,20.4349,0.690394,2.55648
2.94456,20.2773,0.681889,2.54234
3.23816,19.1829,0.72925,2.67208
3.21715,19.4343,0.724844,2.67553
3.05314,20.1942,0.692141,2.59591
3.14126,19.8534,0.701241,2.47824
3.01867,20.0793,0.672298,2.52545
3.07662,9.71282,0.761798,2.96753
2.64426,14.441,0.704489,2.49144
2.64403,14.3908,0.707991,2.48161
3.11361,13.309,0.754524,2.7434
3.14842,13.2632,0.749804,2.7441
2.78092,13.9791,0.715385,2.56443
2.91435,18.1074,0.783415,3.00187
3.17566,21.8517,0.673781,2.43054
2.83781,21.6298,0.695477,2.53826
2.94644,21.6818,0.731138,2.685
2.89314,21.8222,0.718986,2.66186
2.90487,21.0601,0.739929,2.76554
2.9918,24.03,0.718527,2.58104
2.97992,23.7317,0.724141,2.75997
3.00062,26.2812,0.71244,2.61425
2.96134,25.9262,0.765502,2.93611
3.12393,25.9696,0.78804,2.90904
2.87836,24.3594,0.741786,2.80618
3.17425,24.3592,0.710196,2.59929
3.17395,24.3574,0.701644,2.59915
2.85947,16.2402,0.737741,2.76178
2.86714,15.0498,0.728801,2.75938
2.7924,14.4639,0.752095,2.75778
2.873,14.447,0.727427,2.66718
2.89833,19.6759,0.7291,2.66484
2.90748,18.5841,0.696936,2.5187
2.83444,13.0973,0.703981,2.64281
2.81212,13.1264,0.756653,2.86096
2.8424,13.014,0.765513,2.78736
2.8688,15.261,0.737817,2.82049
2.89554,14.4195,0.743486,2.69177
2.90478,17.0911,0.724831,2.63049
2.84241,20.2244,0.718183,2.63765
2.73281,17.3158,0.723487,2.68706
2.81827,17.8742,0.738098,2.78664
2.86712,17.8375,0.728813,2.78537
2.98454,17.6596,0.727945,2.7925
2.97148,17.7141,0.736725,2.75533
2.94502,18.2189,0.703773,2.59399
2.9165,18.1924,0.735767,2.70652
2.94507,18.2382,0.72804,2.69036
2.79074,15.1213,0.770861,2.86197
2.86453,21.6562,0.695269,2.52839
2.8867,21.5565,0.725858,2.60565
2.95402,21.2454,0.713407,2.62887
3.06226,15.6906,0.71832,2.67771
3.10858,16.0444,0.711697,2.6475
3.05877,15.9794,0.697179,2.58176
2.862,16.0789,0.70319,2.57938
2.89342,18.3723,0.755842,2.77363
2.80089,18.0762,0.710349,2.67788
2.8258,21.524,0.722305,2.73682
2.82883,20.9556,0.701874,2.52447
2.78961,14.7024,0.745442,2.77583
2.72333,15.1399,0.747158,2.75468
2.94087,23.1464,0.739178,2.71496
2.80539,23.3192,0.733861,2.6952
3.19714,21.1528,0.690685,2.50152
3.01217,21.8327,0.710256,2.60219
2.91256,18.9118,0.736848,2.76227
2.82352,14.7269,0.677354,2.47951
2.68341,12.7511,0.691519,2.58217
2.67667,12.7177,0.684747,2.59742
3.00812,13.6105,0.749826,2.91769
2.93271,20.7604,0.649673,2.39198
2.93359,17.5516,0.795481,3.05435
2.82696,13.8179,0.744489,2.69647
2.85032,21.0446,0.723559,2.71888
2.8617,21.0701,0.731641,2.68066
2.77376,12.4725,0.724141,2.66253
2.80929,12.8145,0.706799,2.61381
2.94321,12.6565,0.692224,2.61191
2.89701,12.4937,0.69965,2.62651
2.97348,12.6841,0.715149,2.64568
2.9704,19.4568,0.696767,2.63284
2.85498,11.4767,0.719126,2.68502
2.62011,5.16087,0.742057,2.76954
2.69804,4.81933,0.736744,2.74021
2.88216,14.7492,0.751225,2.80956
2.93749,15.3645,0.762961,2.85767
2.83193,13.0214,0.698308,2.57512
2.71966,12.2374,0.745244,2.81463
2.92102,10.5175,0.742153,2.80318
2.87471,11.9542,0.736933,2.65843
2.7461,10.2141,0.71312,2.58938
3.04949,13.4441,0.770387,2.77576
2.96844,13.418,0.733907,2.85483
2.98847,22.1832,0.73151,2.7692
2.92187,18.8698,0.699793,2.55942
2.83841,19.2365,0.710092,2.59558
3.01931,24.3318,0.722474,2.72542
3.02813,26.3469,0.710215,2.64966
2.77448,11.719,0.717466,2.65759
2.79742,5.03958,0.710484,2.62488
2.95565,4.93446,0.735674,2.65874
3.00346,16.3782,0.733746,2.67012
2.75568,14.691,0.700787,2.53011
2.83811,14.5322,0.709974,2.46614
2.88836,17.9471,0.725854,2.83847
2.99921,21.6116,0.726587,2.57428
2.96757,21.5896,0.722293,2.60494
3.00169,23.1986,0.743807,2.71318
2.87117,17.2699,0.756856,2.76233
2.88094,17.4795,0.743858,2.80258
2.92842,5.38209,0.768904,2.9833
2.87867,28.1916,0.671043,2.49342
3.12513,27.0692,0.772418,2.89698
2.9833,27.1859,0.776144,2.95426
3.01067,27.3847,0.742276,2.78805
3.01022,27.9049,0.776954,2.89661
3.12235,28.007,0.687404,2.55639
3.12775,28.0015,0.690196,2.55014
2.94147,28.2804,0.765835,2.81564
3.07774,28.3314,0.718683,2.60062
3.2564,28.4301,0.698865,2.58916
2.84103,28.8519,0.730487,2.61249
2.71249,4.67518,0.757947,2.91369
2.9104,4.32888,0.692558,2.61867
2.76909,4.03179,0.679433,2.55458
2.86111,4.45891,0.759813,2.77713
2.80352,2.98107,0.767731,2.83292
2.76516,3.05288,0.759738,2.72892
2.96886,3.17786,0.752286,2.72384
2.92474,3.15503,0.717101,2.75661
3.05103,22.071,0.752709,2.69602
3.07767,21.8201,0.739595,2.84515
2.8099,23.7782,0.84828,3.24171
2.97391,25.6398,0.687386,2.57649
2.80301,19.3678,0.715899,2.64855
2.98813,19.4463,0.67475,2.47447
2.80821,18.1374,0.730498,2.73261
3.03764,19.3819,0.798482,2.96408
2.94782,10.439,0.658375,2.35443
2.88745,10.2939,0.666205,2.36621
3.04948,27.1063,0.677344,2.42101
2.9031,27.5014,0.698361,2.60519
2.9881,27.4578,0.695976,2.5323
2.97998,27.3303,0.70598,2.51164
2.9595,27.2477,0.696257,2.5205
2.87272,17.1181,0.718804,2.64441
2.87131,19.7007,0.710657,2.61207
3.00988,22.8739,0.738423,2.67911
2.95244,22.5463,0.720862,2.63113
2.92986,26.0331,0.756727,2.76512
2.85271,25.9027,0.742323,2.73986
3.02573,25.6465,0.705778,2.61952
2.91614,25.8981,0.723868,2.64733
3.02806,26.2527,0.725213,2.76527
3.03305,16.7075,0.721989,2.70341
2.98004,17.3534,0.738354,2.75943
2.94689,17.4749,0.744883,2.70486
2.80503,17.3886,0.730674,2.77913
2.93452,16.7617,0.778579,2.90724
2.87274,15.4846,0.699098,2.5204
2.98412,20.8003,0.787988,2.93345
2.9196,13.0238,0.698696,2.58439
2.82885,7.12079,0.750031,2.79671
3.01473,9.57272,0.687154,2.52873
2.96614,11.4598,0.736665,2.78043
2.77185,12.4573,0.797485,2.92878
2.79254,10.8411,0.710302,2.54796
2.79015,10.9199,0.704225,2.53989
2.91266,11.4223,0.74262,2.74004
2.84773,18.6911,0.738701,2.82615
2.84918,18.6368,0.731223,2.85165
2.8007,7.59259,0.740014,2.64294
2.86566,16.8545,0.728449,2.64055
2.85256,13.8161,0.726772,2.70809
2.62936,9.2115,0.731676,2.72039
2.72695,9.21086,0.742022,2.69695
2.82128,10.0525,0.730682,2.67686
2.8312,8.60764,0.749474,2.80749
2.83388,12.7369,0.695684,2.64393
2.64764,12.2024,0.740655,2.68112
3.01122,10.8527,0.723639,2.71109
3.03941,13.5545,0.715646,2.6288
3.02662,13.3,0.706684,2.67263
3.14131,13.0591,0.712409,2.65075
2.72698,23.0141,0.744042,2.76982
2.90131,22.8409,0.711591,2.66155
3.02758,24.153,0.722001,2.75807
2.87073,6.08064,0.741839,2.73257
2.838,7.34942,0.742374,2.77206
2.76412,6.99945,0.745594,2.7096
3.01589,6.44799,0.762053,2.94601
2.70718,9.63578,0.726063,2.73202
2.72619,12.6887,0.731901,2.74809
2.98038,10.6687,0.710008,2.66723
2.73073,10.5617,0.775569,2.8462
2.80518,17.4474,0.706185,2.53855
2.72675,17.0671,0.69884,2.59332
3.15659,16.9296,0.726501,2.72547
3.13752,17.0344,0.735444,2.70761
2.66809,15.105,0.74669,2.78183
2.76252,15.2513,0.736278,2.77006
2.88797,10.7926,0.705419,2.68892
2.86728,17.6842,0.841387,3.28519
2.97478,18.82,0.75397,2.933
3.02974,18.6501,0.76294,2.92101
2.95054,18.814,0.779638,2.8769
2.83926,10.8829,0.708024,2.58603
2.96227,21.289,0.771626,2.93862
2.8465,21.0014,0.75693,2.90038
3.05538,19.6716,0.748941,2.88787
2.92623,19.4207,0.71397,2.64786
3.09839,18.9984,0.720903,2.62642
2.84139,19.9794,0.70825,2.64751
2.87781,14.1592,0.743671,2.75042
2.82305,13.5952,0.702652,2.62714
2.84834,15.173,0.738554,2.71375
2.93115,18.0551,0.703787,2.56151
2.81954,17.8296,0.704695,2.63337
3.00178,17.3164,0.705916,2.65198
2.90552,17.5049,0.742624,2.751
3.0527,19.025,0.730192,2.5683
2.80955,21.8014,0.766284,2.86367
3.01963,22.4677,0.730621,2.76854
2.74182,16.8947,0.714329,2.6608
2.79912,16.6369,0.661493,2.4989
3.07605,17.5817,0.722829,2.82135
2.95339,17.2616,0.733688,2.7245
2.89054,10.9028,0.716858,2.66016
2.74008,10.242,0.70248,2.57925
2.67641,9.61785,0.715046,2.577
2.59516,9.71563,0.752548,2.82203
2.59035,10.1799,0.725486,2.6326
2.54316,10.68,0.717409,2.66012
2.6359,10.7234,0.715028,2.6064
2.987,10.8378,0.728374,2.74785
2.79962,11.6398,0.738113,2.7348
2.89029,14.0915,0.763239,2.85954
2.59745,13.5029,0.810277,3.02085
3.18131,13.9058,0.848548,3.28651
2.81564,22.872,0.721618,2.66118
2.82142,17.559,0.792105,2.89776
3.01772,23.7252,0.67483,2.48698
2.74737,12.2071,0.707177,2.61503
2.91983,22.1462,0.71504,2.66866
2.8326,7.33008,0.769041,2.83863
2.80122,6.87205,0.730509,2.71243
2.86488,14.9902,0.687706,2.56616
2.69472,15.1603,0.713634,2.54048
2.71005,15.3695,0.707556,2.51374
3.02534,19.624,0.737375,2.83736
2.80513,19.4548,0.793796,2.91293
3.1229,28.5426,0.716594,2.74205
2.80705,14.3206,0.719654,2.74269
2.89962,16.9625,0.711315,2.63204
2.86547,18.0526,0.694671,2.54573
3.00629,18.0661,0.700985,2.63721
2.83946,17.6159,0.759153,2.79496
2.85554,24.7462,0.7147,2.64321
3.15924,26.9812,0.702652,2.60356
2.94556,26.7985,0.774167,2.87484
3.28912,26.9982,0.719047,2.66543
2.73618,25.5749,0.729884,2.6721
2.76195,25.1488,0.735468,2.72934
2.8225,12.0517,0.739324,2.74062
2.97233,11.0496,0.776605,2.94804
2.9253,9.79253,0.755047,2.81634
2.78205,10.3317,0.742201,2.73216
3.0597,19.76,0.695431,2.53667
2.85091,18.5634,0.729132,2.74011
2.83744,17.0223,0.726907,2.66755
2.58575,17.972,0.734193,2.70973
2.83342,17.5398,0.747737,2.76393
2.87095,17.7555,0.750662,2.71951
2.88253,17.6516,0.746973,2.77801
2.73478,5.23008,0.752994,2.7604
3.16059,5.42641,0.719212,2.63491
2.62187,7.124,0.694197,2.54587
3.14059,7.06664,0.720287,2.72802
