time,mRNA_Theta_1,Prot_Theta_1
0.0,10.0,100.0
1.0,164.22280854323685,258.8277539182495
2.0,257.4970724982485,572.4093148741279
3.0,313.04843606946605,858.8477223942863
4.0,345.02576022537716,1072.8244198453472
5.0,362.59196966501884,1216.912736051516
6.0,371.75004033568587,1307.3003069039385
7.0,376.2659635313142,1360.9137071564955
8.0,378.358661133497,1391.2209008322966
9.0,379.25610873516507,1407.61570944357
10.0,379.5992688811008,1416.113288927065
11.0,379.704219576634,1420.32624430889
12.0,379.7176279873878,1422.313187741288
13.0,379.7026596343348,1423.1940810989715
14.0,379.6837088808039,1423.5520852138382
15.0,379.6684356633554,1423.6775761876047
16.0,379.65800464051915,1423.7081472036257
17.0,379.65151601145243,1423.7051628508827
18.0,379.647733255029,1423.6937825681664
19.0,379.64563914331166,1423.68297709498
20.0,379.6445317648471,1423.675045213712
21.0,231.09175255683007,1237.5368965417824
22.0,141.0316738817156,920.4130388737129
23.0,86.55339604660149,636.4902334252196
24.0,54.021823389149006,423.7832298291471
25.0,36.094435889854616,278.87060570087203
26.0,30.765644032831084,191.39291887786445
27.0,37.25034837301674,155.66817649087
28.0,45.22370481123229,157.04664938482657
29.0,47.316137970497834,167.26697034112587
30.0,46.389231346799754,171.96358887205423
31.0,45.37002591194993,171.76777650229354
32.0,45.036550480134586,170.3725208524226
33.0,45.126560794400326,169.62569190996055
34.0,45.26982476384535,169.5829719623268
35.0,45.32593649889123,169.7624119654642
36.0,45.318515124661154,169.8750049121032
37.0,45.29907123827214,169.88955273097366
38.0,45.29012675071691,169.8670729756044
39.0,45.29038052527595,169.8504255901336
40.0,45.29296206007501,169.84716239715465
41.0,28.58310611382779,148.88181791810976
42.0,18.76044581079739,113.5044848934687
43.0,13.732286940466663,83.13971856153779
44.0,12.802993966268273,63.96488559839594
45.0,14.769367981218492,57.24383855745369
46.0,16.502769219675667,58.49767742771321
47.0,16.83132630236004,60.927848208067765
48.0,16.56961607240582,61.855353216864934
49.0,16.34095210625663,61.71407942730256
50.0,16.28046223858171,61.37947083755856
51.0,16.308737764962608,61.22599274015488
52.0,16.341492685903688,61.22993054900521
53.0,16.352332036874593,61.273979044137725
54.0,16.34955442325473,61.29785029042803
55.0,16.34502989847646,61.29938077498919
56.0,16.34321986428609,61.293743308463846
57.0,16.343426123835258,61.29012741874301
58.0,16.344036556399583,61.28961256673432
59.0,16.34432661549807,61.29030601753866
60.0,16.344324805275715,61.29083968908186
