time1,2_theta1_Mean,2_theta1_Std
0.0,1399.3378444282853,150.0
1.0,1437.1215702646048,164.5737545093267
2.0,1786.0638474161406,163.2721447323064
3.0,1477.2236937337645,157.97450502476568
4.0,1918.5817635194212,152.9257793300202
5.0,1491.355018164503,149.21155626995946
6.0,1578.2023602803329,146.78733583118523
7.0,1608.3099806551327,145.3166676814826
8.0,1176.7844378907146,144.47005413804916
9.0,1288.2614521884059,144.0028106415052
10.0,1496.470933084016,143.754355829413
11.0,1413.1424715850633,143.62685804736145
12.0,1248.3081408483824,143.5637884839692
13.0,1453.092781682155,143.53383977040426
14.0,1138.796108377207,143.52030644526815
15.0,1558.562180396539,143.51458572177305
16.0,1488.2499178536177,143.51240554745357
17.0,1471.3593809270737,143.51172816677357
18.0,1584.7904230396932,143.51162759020207
19.0,1189.4614744833252,143.5117088505385
20.0,1344.1997866294453,143.51181965469365
21.0,1390.6098015204846,124.8537878204964
22.0,1046.5844838288967,93.17070915855062
23.0,670.4321979133887,65.23557624707813
24.0,454.71730714718814,45.67359682228934
25.0,350.8531127892847,35.53950308968228
26.0,354.32539592738874,33.4468193504442
27.0,380.4375999643479,34.93860154738203
28.0,331.561230186704,36.35156217103197
29.0,372.17751228435185,36.78717769538878
30.0,357.8560745236096,36.67191565839814
31.0,339.2414919362861,36.48084547714671
32.0,428.7366476435675,36.39293825732984
33.0,351.9825546364024,36.390397880811086
34.0,316.99349131591975,36.412778290399025
35.0,337.6379813584081,36.42734272955262
36.0,346.90961873116305,36.43027662385689
37.0,311.3690323598879,36.42812768812324
38.0,341.6881852580783,36.425994617260024
39.0,374.45154426575704,36.42525672952517
40.0,352.5394146412503,36.42538028356506
41.0,442.1906269889309,51.455389930675864
42.0,836.510096638426,77.06592415166195
43.0,1127.4367037563957,100.01089749484751
44.0,1033.9486609003707,117.25788386611333
45.0,1024.618715912095,129.21504533708594
46.0,1357.9766444398022,137.13977750338307
47.0,1814.050698140395,142.24847529145254
48.0,1468.7473788412772,145.48280157710346
49.0,1460.941756551281,147.5055133877373
50.0,1649.008630740376,148.75975640251082
51.0,1306.832259369486,149.53280778184788
52.0,1571.723949198393,150.00722047810422
53.0,1438.8312445843592,150.29745263712832
54.0,1364.0682883594664,150.4746045264562
55.0,1382.4358296748617,150.58255449367886
56.0,1496.2674279884025,150.64825491829163
57.0,1383.5560286092928,150.68820567189596
58.0,1696.0997055305577,150.71248261690204
59.0,1456.7347365637038,150.72722781541117
60.0,1501.4891888618101,150.73618044347407
