time,mRNA_Theta_1,Prot_Theta_1
0.0,500.0,1500.0
1.0,451.088536983223,1645.737545093267
2.0,420.60500090580666,1632.721447323064
3.0,402.8625339905805,1579.7450502476568
4.0,393.046411726741,1529.257793300202
5.0,387.8252317552541,1492.1155626995946
6.0,385.1424792705759,1467.8733583118521
7.0,383.8107130538988,1453.1666768148261
8.0,383.174295431073,1444.7005413804916
9.0,382.88383226465885,1440.028106415052
10.0,382.75911858665194,1437.5435582941298
11.0,382.7102843522059,1436.2685804736145
12.0,382.6941602053436,1435.637884839692
13.0,382.69092420166396,1435.3383977040426
14.0,382.69199758711824,1435.2030644526815
15.0,382.6939803707101,1435.1458572177305
16.0,382.69572177264877,1435.1240554745357
17.0,382.69696776797053,1435.1172816677356
18.0,382.6977714092834,1435.1162759020206
19.0,382.6982561307162,1435.117088505385
20.0,382.69853437837475,1435.1181965469366
21.0,233.85836776027605,1248.5378782049638
22.0,144.58193512428969,931.7070915855062
23.0,93.72201186253167,652.3557624707813
24.0,72.16741517669553,456.73596822289335
25.0,76.22291360218343,355.3950308968228
26.0,90.97435517114116,334.468193504442
27.0,99.1984613023047,349.38601547382024
28.0,99.94719148690719,363.5156217103197
29.0,98.30207413200694,367.8717769538878
30.0,97.09842030243064,366.7191565839814
31.0,96.79259966172413,364.8084547714671
32.0,96.93205274051547,363.92938257329837
33.0,97.10271533277886,363.9039788081109
34.0,97.17049900961415,364.12778290399024
35.0,97.1660311800059,364.2734272955262
36.0,97.14480351226112,364.3027662385689
37.0,97.13285113674756,364.2812768812324
38.0,97.13121984080286,364.2599461726002
39.0,97.13346560110408,364.25256729525165
40.0,97.13530365654611,364.2538028356506
41.0,217.0902146524794,514.5538993067586
42.0,289.84654585983697,770.6592415166194
43.0,333.9754914343594,1000.1089749484751
44.0,360.741049802282,1172.5788386611332
45.0,376.9751816375641,1292.1504533708594
46.0,386.82168011134024,1371.3977750338306
47.0,392.793883381574,1422.4847529145252
48.0,396.41620768443096,1454.8280157710346
49.0,398.6132579199491,1475.0551338773728
50.0,399.9458366431515,1487.597564025108
51.0,400.75408666285404,1495.3280778184787
52.0,401.2443151947061,1500.072204781042
53.0,401.5416538959941,1502.9745263712832
54.0,401.72199897340425,1504.7460452645619
55.0,401.8313837261821,1505.8255449367884
56.0,401.8977288360962,1506.4825491829163
57.0,401.93796927859927,1506.8820567189596
58.0,401.96237639460105,1507.1248261690203
59.0,401.9771800848186,1507.2722781541115
60.0,401.9861589959559,1507.3618044347406
