x1,x2,x3,x4
3.1447,22.519,0.752971,2.8233
3.14395,24.9141,0.747417,2.8228
3.12196,25.2828,0.749717,2.83207
3.22291,15.8074,0.759293,2.87143
3.05785,18.336,0.760898,2.84132
3.05245,18.5988,0.763217,2.83613
3.08189,27.0658,0.74997,2.84475
3.0958,26.9432,0.743444,2.84628
2.96339,25.7123,0.78475,2.98636
2.99983,23.4423,0.792019,2.94111
2.88992,17.6777,0.766214,2.8042
3.10035,15.0108,0.764339,2.89705
3.04017,15.8322,0.77439,2.94138
3.09647,2.29723,0.768664,2.90351
3.23919,29.2961,0.790354,3.00247
3.0768,7.85184,0.760347,2.85771
3.14402,18.3129,0.754001,2.84423
2.93314,10.2762,0.802706,3.03806
2.98167,15.9606,0.820227,3.10943
3.04327,13.2108,0.761266,2.8473
3.08136,14.244,0.745046,2.77398
3.09072,12.2044,0.758472,2.84334
2.86716,6.47596,0.766974,2.84582
3.00421,7.8518,0.737983,2.7969
3.0894,6.3882,0.758647,2.72126
3.06338,6.87697,0.759429,2.75262
3.09204,7.24897,0.72494,2.77747
2.99003,20.8871,0.789751,3.03061
3.01093,19.9942,0.797847,3.00153
2.96375,11.3355,0.778967,2.90649
3.14946,15.7196,0.828381,3.08491
3.11918,17.358,0.817677,3.07196
3.0205,16.1123,0.741958,2.83431
3.0833,13.0067,0.763718,2.82932
3.0357,19.1771,0.803416,3.08251
3.02454,14.2619,0.810799,3.16444
3.05198,14.0016,0.81363,3.19959
3.16443,13.3465,0.811032,3.06685
3.13707,17.0866,0.81986,3.15514
2.98611,21.6167,0.808059,3.15347
3.01807,17.5265,0.814475,3.09018
3.01249,14.4085,0.798535,3.05759
3.00813,14.488,0.797595,3.06199
3.00793,15.0788,0.796044,3.05387
3.278,22.6444,0.802635,3.01678
3.11563,18.7522,0.820456,3.08693
2.99976,14.7786,0.769987,2.89472
3.11822,14.1979,0.79525,2.96694
3.10975,16.5994,0.795357,3.01286
3.08396,8.2833,0.787836,3.0295
3.07233,24.3583,0.796447,2.98377
3.08767,21.3349,0.799339,2.92802
3.08351,18.2442,0.767633,2.96112
3.09102,18.249,0.774437,2.93369
3.006,9.8633,0.845391,3.18645
3.01267,10.9611,0.852324,3.15547
3.01627,11.2911,0.844668,3.16923
3.1798,12.6307,0.807948,3.12187
3.18868,15.2735,0.822524,3.07155
3.15572,15.7343,0.815938,3.1081
2.92114,16.625,0.795816,2.98221
3.01745,19.6271,0.764343,2.8817
2.98455,8.70536,0.777845,2.91218
3.12695,23.5886,0.803864,3.0544
3.05302,18.7003,0.79735,3.01015
3.04999,23.7896,0.811816,3.06842
3.05444,24.2727,0.80953,3.0658
3.05981,9.09636,0.832598,3.19972
2.98969,5.10979,0.866757,3.27517
2.90093,8.09939,0.828307,3.11598
3.00733,12.1107,0.802339,3.06845
3.15102,17.6202,0.756246,2.83618
3.08891,15.3316,0.758721,2.88864
2.97591,9.60956,0.867449,3.2884
2.9546,5.63092,0.852958,3.30682
2.96698,19.5321,0.809744,2.98944
2.97605,19.7682,0.805356,2.99808
3.00676,16.8954,0.787346,3.01847
3.2552,17.7819,0.78677,3.01162
3.29327,26.9431,0.804719,3.08467
2.82022,7.38796,0.816327,3.16424
3.22326,22.1494,0.786194,2.99977
3.14879,21.7391,0.831503,3.19363
3.18958,16.174,0.795879,3.06459
3.18746,15.451,0.809882,2.97829
3.17478,25.3441,0.809335,2.94441
3.16313,25.1381,0.795178,2.96781
3.00774,22.8939,0.78236,2.99635
2.93104,22.1605,0.813388,3.05631
2.94554,12.1516,0.787514,2.95823
3.1474,15.9132,0.749317,2.77037
3.20463,19.7725,0.729514,2.7038
2.96157,11.6853,0.768348,2.90273
2.9923,15.2915,0.803441,3.01039
3.10498,15.8439,0.815921,3.08783
3.0567,16.7156,0.799236,3.00459
3.14276,17.7768,0.750564,2.86471
3.09246,22.0159,0.76523,2.95011
2.9329,11.0882,0.829015,3.10853
3.15227,21.4875,0.811051,3.09725
3.12797,24.7913,0.815112,3.07787
3.21397,18.0229,0.734117,2.7512
3.35423,18.0495,0.741656,2.75124
3.29998,15.5557,0.746093,2.81217
