x1,x2,x3,x4
3.2102,17.4241,0.807107,3.03263
3.21634,16.8594,0.807343,3.02035
3.18671,16.1982,0.822825,3.1107
3.20089,18.1377,0.820725,3.12453
3.23851,16.8408,0.830923,3.12782
2.96376,10.9665,0.865724,3.29423
3.01326,8.61628,0.860894,3.23986
2.98979,9.32699,0.855378,3.30825
2.97966,8.85676,0.863786,3.21728
2.97693,14.865,0.835324,3.06034
2.96303,14.043,0.836956,3.08329
2.95622,13.1913,0.82546,3.11542
3.01963,14.1582,0.816123,3.09521
2.88289,6.97619,0.817567,3.06012
2.83855,4.83389,0.846633,3.16468
2.92067,9.43247,0.806843,3.07688
3.00246,6.59666,0.801093,2.98698
2.80574,8.93969,0.842845,3.14929
2.89457,10.1556,0.843955,3.20505
3.03401,12.3513,0.81647,3.09841
3.10612,17.3328,0.841337,3.16909
3.09117,12.5222,0.795595,3.0655
3.07643,17.2552,0.833574,3.09698
3.10796,12.7266,0.809734,3.08545
2.95568,14.1531,0.803222,3.01572
3.22922,15.5476,0.834866,3.14496
3.03751,13.6508,0.824234,3.07679
3.05674,12.7655,0.818718,3.0954
2.9362,10.7133,0.788678,2.96115
2.93519,10.7571,0.793035,2.95786
2.96553,11.8484,0.787358,2.97954
3.04451,12.9654,0.823453,3.15306
3.1013,12.9957,0.829094,3.10598
2.91919,11.6438,0.807025,3.03593
2.97726,10.5814,0.841135,3.25006
3.01212,13.4619,0.834995,3.23829
2.97115,14.8692,0.841974,3.08753
2.97611,14.557,0.841219,3.08287
3.02268,14.6002,0.840091,3.24575
3.07615,12.9804,0.837914,3.168
2.81041,8.03075,0.868615,3.28901
3.06104,15.6242,0.888863,3.34991
3.05217,12.4067,0.857006,3.34598
3.04304,14.8965,0.856032,3.27358
3.02676,10.8868,0.844926,3.24644
3.00251,11.1719,0.826223,3.11105
2.95512,12.4449,0.844647,3.18106
2.86827,9.43765,0.824155,3.07369
2.93436,7.37771,0.799715,3.05159
2.91478,8.62368,0.830291,3.11871
3.1589,17.5494,0.819944,3.09645
3.10549,14.8637,0.809499,3.05499
3.04891,13.4769,0.82244,3.1412
3.02082,13.0302,0.83916,3.12474
3.0241,11.8187,0.833485,3.22444
2.97009,11.5653,0.838723,3.12401
3.00574,11.3225,0.824031,3.14883
3.00408,12.715,0.821577,3.13242
2.99121,12.4033,0.842933,3.18854
2.91589,7.91035,0.825606,3.07076
3.12069,14.3069,0.851447,3.20455
3.04622,13.9891,0.797324,2.96786
3.06035,13.2138,0.802741,2.99929
3.07733,13.0775,0.800066,3.05098
3.21722,14.3574,0.86305,3.27446
2.99493,11.994,0.832708,3.15175
2.99836,12.8909,0.842146,3.19435
3.05637,12.6776,0.839838,3.12015
3.12716,17.6644,0.820287,3.08863
3.13097,17.5297,0.819154,3.08695
3.13442,13.4792,0.807514,3.06281
3.11264,15.8776,0.812905,3.05288
3.22513,16.1402,0.822834,3.12807
3.00309,13.8436,0.862286,3.33093
3.03165,11.5335,0.875649,3.34737
3.20877,15.3947,0.88332,3.36765
3.15547,15.3476,0.82126,3.13141
2.89505,8.75525,0.829965,3.11814
3.23731,16.8419,0.829578,3.21085
3.14103,13.2491,0.88291,3.38785
3.07253,16.0125,0.887064,3.3652
3.07253,14.4121,0.87839,3.34273
3.15651,16.7131,0.822332,3.17181
3.06001,14.1851,0.782564,2.85332
3.1319,16.1209,0.891134,3.37834
2.9725,11.7735,0.845097,3.19873
3.10802,15.4115,0.842426,3.21645
2.96894,10.9707,0.822641,3.10617
2.98916,13.0903,0.802745,2.99967
3.13321,16.3791,0.848578,3.18773
2.86745,9.85215,0.823035,3.05388
2.86195,9.21029,0.825101,3.08987
3.14129,16.0883,0.846925,3.22636
3.14574,14.4562,0.844647,3.26131
3.2302,15.7898,0.801114,2.99501
3.29156,17.1473,0.789297,2.97784
3.22376,15.5027,0.830505,3.16371
3.06761,16.013,0.788306,2.95757
3.07797,15.8424,0.787924,2.92423
3.07797,15.8424,0.787924,2.92423
3.1136,13.8983,0.7837,3.0
2.85439,8.73647,0.849108,3.16091
3.10341,14.9789,0.848903,3.16449
3.08908,13.7732,0.821354,3.15214
2.98086,8.9024,0.84537,3.17941
3.06373,16.4676,0.82907,3.09296
3.06822,10.9613,0.854015,3.23913
3.05987,13.9948,0.82558,3.15205
3.10698,14.6133,0.849045,3.19905
3.07184,14.7183,0.853164,3.19955
3.02518,12.1442,0.800071,3.00812
2.952,12.4348,0.822391,3.05974
2.97535,11.7429,0.814591,3.09393
3.16152,15.1515,0.800776,3.08254
3.12004,15.7347,0.837134,3.19509
3.10116,13.3859,0.848569,3.26562
3.01028,15.1626,0.831779,3.15685
2.96985,8.50421,0.861199,3.27549
2.87918,12.8661,0.83611,3.15858
2.92751,9.10706,0.845694,3.1901
2.93275,7.76376,0.838737,3.20546
2.933,12.3215,0.843589,3.20156
2.84601,7.84847,0.79423,2.93485
2.95279,13.0181,0.871797,3.32106
3.12939,16.1272,0.841637,3.14769
3.12712,16.6003,0.838636,3.14315
3.11464,14.7171,0.826703,3.1013
3.11385,13.9578,0.829744,3.164
3.10496,14.5406,0.85829,3.23722
3.0542,15.8144,0.853841,3.27133
3.13776,12.6766,0.836312,3.09099
3.14853,13.7326,0.834422,3.12969
3.12147,13.7567,0.826905,3.1738
