# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 4
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_4.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.157714
# Diagonal elements of inverse mass matrix:
# 0.0171471, 2.28634, 0.0407316, 0.0186616
-32.0509,0.996423,0.16192,4,31,0,33.2513,0.277673,0.18433,1.10137,-0.105415,3.27767,16.8364,0.77759,2.89459
-32.149,0.995283,0.190172,4,31,0,33.8883,0.24564,-0.34757,1.0048,-0.119034,3.24564,12.9801,0.753689,2.88097
-34.7272,0.911237,0.173651,4,15,0,36.8491,0.462346,1.78875,1.1277,-0.0425355,3.46235,28.4684,0.784106,2.95746
-33.6259,0.983412,0.122095,5,31,0,36.0698,0.371345,1.71224,1.18701,0.0626985,3.37135,27.9137,0.798785,3.0627
-38.1341,0.950778,0.124544,4,31,0,40.927,0.58002,1.94081,1.06502,-0.0492004,3.58002,29.5708,0.768592,2.9508
-30.8756,0.92256,0.216769,4,15,0,39.5182,0.177103,-0.506224,1.10214,-0.0291377,3.1771,11.8299,0.77778,2.97086
-32.7436,0.97526,0.222411,3,7,0,33.6326,0.2114,-1.20063,1.04394,-0.0974091,3.2114,6.79543,0.763376,2.90259
-31.5704,0.99922,0.150576,4,23,0,33.9293,0.239104,1.40085,1.04924,-0.102825,3.2391,25.6562,0.764686,2.89717
-30.7642,0.998876,0.109984,5,31,0,33.4271,-0.132425,-0.35737,1.06289,-0.104057,2.86757,12.9091,0.768064,2.89594
-31.3187,0.995833,0.159764,5,31,0,34.8935,0.156988,0.479379,0.940088,-0.245849,3.15699,18.9755,0.737672,2.75415
-30.2546,0.991157,0.0997043,5,31,0,32.1429,-0.0137099,0.57754,1.18489,0.0293727,2.98629,19.6872,0.798259,3.02937
-30.1313,0.977159,0.17028,2,7,0,31.8228,0.0417955,-0.742978,1.17532,0.000339444,3.0418,10.1134,0.795891,3.00034
-31.1604,0.934908,0.103521,3,7,0,32.8621,0.0319436,-0.647405,1.08553,-0.011932,3.03194,10.8063,0.77367,2.98807
-30.6408,0.954972,0.114978,4,19,0,33.2264,0.041963,-0.384935,1.05327,-0.0575351,3.04196,12.7092,0.765684,2.94246
-29.9912,0.963507,0.223852,4,23,0,31.9014,0.0685713,-0.145373,1.24477,0.0767682,3.06857,14.446,0.813081,3.07677
-31.6507,0.984586,0.0830138,5,31,0,32.469,0.25414,0.952035,1.07734,-0.0309919,3.25414,22.4023,0.771641,2.96901
-36.4524,0.559091,0.192541,5,47,0,40.6566,0.0100526,-0.0648067,1.35821,0.342113,3.01005,15.0302,0.841158,3.34211
-34.4382,1,0.0848516,2,3,0,36.45,0.016192,-0.11431,1.36791,0.320061,3.01619,14.6713,0.843558,3.32006
-36.2078,0.978061,0.11959,3,7,0,37.5421,0.0161432,0.0487379,1.37015,0.34904,3.01614,15.8533,0.844112,3.34904
-32.7405,0.976088,0.186845,4,23,0,37.2862,0.0243791,0.0277196,1.09215,-0.177675,3.02438,15.701,0.775308,2.82232
-31.5625,0.965425,0.149989,2,7,0,35.5522,0.0564017,0.672406,1.04088,-0.195246,3.0564,20.3749,0.762617,2.80475
-31.0731,0.999737,0.103453,5,31,0,32.225,0.016868,-0.0872361,0.957105,-0.167997,3.01687,14.8675,0.741884,2.832
-33.3409,0.985611,0.188612,4,15,0,33.9501,-0.11632,0.236218,0.882874,-0.257755,2.88368,17.2126,0.723511,2.74225
-33.024,0.995151,0.124579,4,15,0,33.9998,-0.128789,0.388449,0.905514,-0.252873,2.87121,18.3163,0.729115,2.74713
-32.7711,0.910046,0.126611,4,15,0,36.191,-0.00611843,-1.20617,1.03871,-0.203143,2.99388,6.75527,0.762081,2.79686
-31.9178,1,0.194134,1,1,0,32.6412,-0.00372027,-1.21599,1.02734,-0.190222,2.99628,6.68404,0.759267,2.80978
