# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 4
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_4.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.168005
# Diagonal elements of inverse mass matrix:
# 0.0133969, 0.301218, 0.0378718, 0.0144741
-51.4523,0.995126,0.170619,4,15,0,51.783,-0.0264342,-0.587037,1.1462,-0.0288863,2.97357,11.244,0.788686,2.97111
-51.6491,0.964115,0.15331,5,31,0,53.8023,-0.113941,-0.864779,1.26501,0.0965524,2.88606,9.23035,0.818089,3.09655
-51.584,0.999895,0.246201,4,15,0,52.0482,0.159402,0.172574,1.25941,0.0987469,3.1594,16.7512,0.816705,3.09875
-52.1904,0.918607,0.160964,4,15,0,53.1602,0.182932,0.111747,1.19552,0.0499844,3.18293,16.3102,0.800891,3.04998
-52.3416,0.948563,0.186725,4,31,0,53.6416,-0.100424,-0.865853,1.27686,0.0478375,2.89958,9.22257,0.821022,3.04784
-51.9268,0.994218,0.179248,5,31,0,53.3352,-0.101636,-0.819745,1.29717,0.152551,2.89836,9.55685,0.826051,3.15255
-52.4899,0.947301,0.116936,5,31,0,54.2195,-0.0288128,-0.991406,1.34855,0.16051,2.97119,8.31231,0.838765,3.16051
-53.1099,0.997923,0.09491,3,7,0,53.3767,-0.0168446,-1.0516,1.33691,0.199344,2.98316,7.87594,0.835886,3.19934
-52.5287,0.843381,0.206061,3,7,0,54.6528,-0.0990349,-0.61609,1.32219,0.0872233,2.90097,11.0333,0.832241,3.08722
