# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 1
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_1.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.176485
# Diagonal elements of inverse mass matrix:
# 0.00889332, 1.49115, 0.0174788, 0.00778331
-65.0129,0.975592,0.213718,3,11,0,67.2985,0.0164654,-0.162872,1.156,-0.0563519,3.01647,14.3192,0.791109,2.94365
-64.2484,0.982297,0.218662,5,35,0,65.792,0.113828,-0.195628,1.16482,-0.0235036,3.11383,14.0817,0.793292,2.9765
-67.2436,0.707114,0.210498,3,11,0,69.5221,0.175845,0.742864,1.24377,0.00858688,3.17584,20.8858,0.812832,3.00859
-67.8756,0.995048,0.114046,4,23,0,69.0791,0.0213746,-0.772646,1.21901,-0.0309367,3.02137,9.89832,0.806705,2.96906
-65.5735,0.998931,0.101251,3,15,0,68.7573,0.0432442,-0.838756,1.19763,-0.0176995,3.04324,9.41902,0.801412,2.9823
-68.746,0.938742,0.115961,3,7,0,69.2749,0.0688463,-0.798767,1.10137,0.0315977,3.06885,9.70894,0.777588,3.0316
-67.2609,1,0.187019,3,15,0,71.5463,0.111751,-0.851504,1.30999,0.0966928,3.11175,9.3266,0.829222,3.09669
-64.7039,0.998938,0.186406,3,15,0,67.6502,0.0691009,-0.909333,1.28328,0.113776,3.0691,8.90734,0.822613,3.11378
